T07	multiples traumatismes non spécifiés
T20.36XD	brûlure du troisième degré du front et de la joue, contact subséquent
T20.36XS	brûlure du troisième degré du front et de la joue, séquelle
T20.37XA	brûlure du troisième degré du cou, contact initial
T20.37XD	brûlure du troisième degré du cou, contact subséquent
T20.37XS	brûlure du troisième degré du cou, séquelle
T20.39XA	brûlure du troisième degré de multiples sites de la tête, la face et le cou, contact initial
T20.39XD	brûlure du troisième degré de multiples sites de la tête, la face et le cou, contact subséquent
T20.39XS	brûlure du troisième degré de multiples sites de la tête, la face et le cou, séquelle
T20.40XA	corrosion d'un degré non spécifié de la tête, la face et le cou, site non spécifié, contact initial
T20.40XD	corrosion d'un degré non spécifié de la tête, la face et le cou, site non spécifié, contact subséquent
T20.40XS	corrosion d'un degré non spécifié de la tête, la face et le cou, site non spécifié, séquelle
T20.411A	corrosion d'un degré non spécifié de l'oreille droite [toute partie, sauf tympan], contact initial
T20.411D	corrosion d'un degré non spécifié de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.411S	corrosion d'un degré non spécifié de l'oreille droite [toute partie, sauf tympan], séquelle
T20.412A	corrosion d'un degré non spécifié de l'oreille gauche [toute partie, sauf tympan], contact initial
T20.412D	corrosion d'un degré non spécifié de l'oreille gauche [toute partie, sauf tympan], contact subséquent
T20.412S	corrosion d'un degré non spécifié de l'oreille gauche [toute partie, sauf tympan], séquelle
T20.419A	corrosion d'un degré non spécifié d'une oreille non spécifiée [toute partie, sauf tympan], contact initial
T20.419D	corrosion d'un degré non spécifié d'une oreille non spécifiée [toute partie, sauf tympan], contact subséquent
T20.419S	corrosion d'un degré non spécifié d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.42XA	corrosion d'un degré non spécifié de lèvre(s), contact initial
T20.42XD	corrosion d'un degré non spécifié de lèvre(s), contact subséquent
T20.42XS	corrosion d'un degré non spécifié de lèvre(s), séquelle
T20.43XA	corrosion d'un degré non spécifié du menton, contact initial
T20.43XD	corrosion d'un degré non spécifié du menton, contact subséquent
T20.43XS	corrosion d'un degré non spécifié du menton, séquelle
T20.44XA	corrosion d'un degré non spécifié du nez (septum), contact initial
T20.44XD	corrosion d'un degré non spécifié du nez (septum), contact subséquent
T20.44XS	corrosion d'un degré non spécifié du nez (septum), séquelle
T20.45XA	corrosion d'un degré non spécifié du cuir chevelu [toute partie], contact initial
T20.45XD	corrosion d'un degré non spécifié du cuir chevelu [toute partie], contact subséquent
T20.45XS	corrosion d'un degré non spécifié du cuir chevelu [toute partie], séquelle
T20.46XA	corrosion d'un degré non spécifié du front et de la joue, contact initial
T20.46XD	corrosion d'un degré non spécifié du front et de la joue, contact subséquent
T20.46XS	corrosion d'un degré non spécifié du front et de la joue, séquelle
T20.47XA	corrosion d'un degré non spécifié du cou, contact initial
T20.47XD	corrosion d'un degré non spécifié du cou, contact subséquent
T20.47XS	corrosion d'un degré non spécifié du cou, séquelle
T20.49XA	corrosion d'un degré non spécifié de multiples sites de la tête, la face et le cou, contact initial
T20.49XD	corrosion d'un degré non spécifié de multiples sites de la tête, la face et le cou, contact subséquent
T20.49XS	corrosion d'un degré non spécifié de multiples sites de la tête, la face et le cou, séquelle
T20.50XA	corrosion du premier degré de la tête, la face et le cou, site non spécifié, contact initial
T20.50XD	corrosion du premier degré de la tête, la face et le cou, site non spécifié, contact subséquent
T20.50XS	corrosion du premier degré de la tête, la face et le cou, site non spécifié, séquelle
T20.511A	corrosion du premier degré de l'oreille droite [toute partie, sauf tympan], contact initial
T20.511D	corrosion du premier degré de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.511S	corrosion du premier degré de l'oreille droite [toute partie, sauf tympan], séquelle
T20.512A	corrosion du premier degré de l'oreille gauche [toute partie, sauf tympan], contact initial
T20.512D	corrosion du premier degré de l'oreille gauche [toute partie, sauf tympan], contact subséquent
T20.512S	corrosion du premier degré de l'oreille gauche [toute partie, sauf tympan], séquelle
T20.519A	corrosion du premier degré d'une oreille non spécifiée [toute partie, sauf tympan], contact initial
T20.519D	corrosion du premier degré d'une oreille non spécifiée [toute partie, sauf tympan], contact subséquent
T20.519S	corrosion du premier degré d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.52XA	corrosion du premier degré de lèvre(s), contact initial
T20.52XD	corrosion du premier degré de lèvre(s), contact subséquent
T20.52XS	corrosion du premier degré de lèvre(s), séquelle
T20.53XA	corrosion du premier degré du menton, contact initial
T20.53XD	corrosion du premier degré du menton, contact subséquent
T20.53XS	corrosion du premier degré du menton, séquelle
T20.54XA	corrosion du premier degré du nez (septum), contact initial
T20.54XD	corrosion du premier degré du nez (septum), contact subséquent
T20.54XS	corrosion du premier degré du nez (septum), séquelle
T20.55XA	corrosion du premier degré du cuir chevelu [toute partie], contact initial
T20.55XD	corrosion du premier degré du cuir chevelu [toute partie], contact subséquent
T20.55XS	corrosion du premier degré du cuir chevelu [toute partie], séquelle
T20.56XA	corrosion du premier degré du front et de la joue, contact initial
T20.56XD	corrosion du premier degré du front et de la joue, contact subséquent
T20.56XS	corrosion du premier degré du front et de la joue, séquelle
T20.57XA	corrosion du premier degré du cou, contact initial
T20.57XD	corrosion du premier degré du cou, contact subséquent
T20.57XS	corrosion du premier degré du cou, séquelle
T20.59XA	corrosion du premier degré de multiples sites de la tête, la face et le cou, contact initial
T20.59XD	corrosion du premier degré de multiples sites de la tête, la face et le cou, contact subséquent
T20.59XS	corrosion du premier degré de multiples sites de la tête, la face et le cou, séquelle
T20.60XA	corrosion du deuxième degré de la tête, la face et le cou, site non spécifié, contact initial
T20.60XD	corrosion du deuxième degré de la tête, la face et le cou, site non spécifié, contact subséquent
T20.60XS	corrosion du deuxième degré de la tête, la face et le cou, site non spécifié, séquelle
T20.611A	corrosion du deuxième degré de l'oreille droite [toute partie, sauf tympan], contact initial
T20.611D	corrosion du deuxième degré de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.611S	corrosion du deuxième degré de l'oreille droite [toute partie, sauf tympan], séquelle
T20.612A	corrosion du deuxième degré de l'oreille gauche [toute partie, sauf tympan], contact initial
T20.612D	corrosion du deuxième degré de l'oreille gauche [toute partie, sauf tympan], contact subséquent
T20.612S	corrosion du deuxième degré de l'oreille gauche [toute partie, sauf tympan], séquelle
T20.619A	corrosion du deuxième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact initial
T20.619D	corrosion du deuxième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact subséquent
T20.619S	corrosion du deuxième degré d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.62XA	corrosion du deuxième degré de lèvre(s), contact initial
T20.62XD	corrosion du deuxième degré de lèvre(s), contact subséquent
T20.62XS	corrosion du deuxième degré de lèvre(s), séquelle
T20.63XA	corrosion du deuxième degré du menton, contact initial
T20.63XD	corrosion du deuxième degré du menton, contact subséquent
T20.63XS	corrosion du deuxième degré du menton, séquelle
T20.64XA	corrosion du deuxième degré du nez (septum), contact initial
T20.64XD	corrosion du deuxième degré du nez (septum), contact subséquent
T20.64XS	corrosion du deuxième degré du nez (septum), séquelle
T20.65XA	corrosion du deuxième degré du cuir chevelu [toute partie], contact initial
T20.65XD	corrosion du deuxième degré du cuir chevelu [toute partie], contact subséquent
T20.65XS	corrosion du deuxième degré du cuir chevelu [toute partie], séquelle
T20.66XA	corrosion du deuxième degré du front et de la joue, contact initial
T20.66XD	corrosion du deuxième degré du front et de la joue, contact subséquent
T20.66XS	corrosion du deuxième degré du front et de la joue, séquelle
T20.67XA	corrosion du deuxième degré du cou, contact initial
T20.67XD	corrosion du deuxième degré du cou, contact subséquent
T20.67XS	corrosion du deuxième degré du cou, séquelle
T20.69XA	corrosion du deuxième degré de multiples sites de la tête, la face et le cou, contact initial
T20.69XD	corrosion du deuxième degré de multiples sites de la tête, la face et le cou, contact subséquent
T20.69XS	corrosion du deuxième degré de multiples sites de la tête, la face et le cou, séquelle
T20.70XA	corrosion du troisième degré de la tête, la face et le cou, site non spécifié, contact initial
T20.70XD	corrosion du troisième degré de la tête, la face et le cou, site non spécifié, contact subséquent
T20.70XS	corrosion du troisième degré de la tête, la face et le cou, site non spécifié, séquelle
T20.711A	corrosion du troisième degré de l'oreille droite [toute partie, sauf tympan], contact initial
T20.711D	corrosion du troisième degré de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.711S	corrosion du troisième degré de l'oreille droite [toute partie, sauf tympan], séquelle
T20.712A	corrosion du troisième degré de l'oreille gauche [toute partie, sauf tympan], contact initial
T20.712D	corrosion du troisième degré de l'oreille gauche [toute partie, sauf tympan], contact subséquent
T20.712S	corrosion du troisième degré de l'oreille gauche [toute partie, sauf tympan], séquelle
T20.719A	corrosion du troisième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact initial
T20.719D	corrosion du troisième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact subséquent
T20.719S	corrosion du troisième degré d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.72XA	corrosion du troisième degré de lèvre(s), contact initial
T20.72XD	corrosion du troisième degré de lèvre(s), contact subséquent
T20.72XS	corrosion du troisième degré de lèvre(s), séquelle
T20.73XA	corrosion du troisième degré du menton, contact initial
T20.73XD	corrosion du troisième degré du menton, contact subséquent
T20.73XS	corrosion du troisième degré du menton, séquelle
T20.74XA	corrosion du troisième degré du nez (septum), contact initial
